"at","score","content","sentiment","pos_score","neg_score"
"2026-01-05 08:44:42","5","네이버 없으면 죽음뿐","긍정","0","0"
"2026-01-05 08:41:30","5","이거 무조건 깔으셈!","긍정","0","0"
"2026-01-05 08:35:20","5","저는 불만 하나 없습니다. 추신: 네이버 20주년 축하드려요~!💝","긍정","0","0"
"2026-01-05 08:11:05","3","자동스크롤 기능이 없어서 불편하네요","부정","0","2"
"2026-01-04 12:46:23","5","도파민 폭발","긍정","0","0"
"2026-01-04 12:22:46","4","행복해요 사랑해요 진짜 웹툰 없음 못 살아요 수업시간에도 보고 걍 안 볼땨가 없어요 웹툰은 제인생의 전부에요 근데 캡쳐만 좀 고쳐주심 좋겠어요 캡쳐만 하고 이미지 편집이나 올리는건 거기 올리는데 가서 갤러리에서 가져와서 올리는것도 되니까요 그 점만 고쳐주심 진짜 좋을것 같아요","긍정","0","0"
"2026-01-04 05:08:18","5","인생에 몇 안되는 낙","긍정","0","0"
"2026-01-04 04:25:19","5","잼있게 보고있어요","긍정","0","0"
"2026-01-04 02:15:09","5","다른 웹툰들의 비해 너무 시스템도 좋고 너무 편해요","긍정","0","0"
"2026-01-04 02:03:58","3","관심에 넣어놓으면 아직 보기 전에 숫자가 떴는데 왜 안 뜨죠","중립","0","0"
"2026-01-04 00:10:53","5","잼","긍정","0","0"
"2026-01-03 21:40:11","3","서클투서치만 됐어도 네웹에서 봤을텐데 서클투서치가 안돼서 걍 불법사이트 씀 ㅇㅇ . 근데 어차피 웹에서는 캡쳐도 되고 다되는거 왜 앱에서는 캡쳐 서클투서치 다 막아둔거임?","중립","0","0"
"2026-01-03 15:27:06","5","다 좋지만 딱 한가지 이상한 점이 쿠키를 받을 수 있는 이벤트를 했을 때 1~2분 기다리다 다시 쿠키 이벤트를 볼 수 있는 곳으로 돌아오면 이벤트는 미션 완료도 아니고 그냥 사라지더하고요. 그랴서 쿠키를 받지 못 했을 때가 많아요. 그래도 정상적으로 들어올 때도 많고 이벤트도 다양해서 좋습니다.","긍정","1","0"
"2026-01-03 10:49:41","4","제가 소장 구매한 작품이 서비스 종료라며 사라졌는데 그럼 저는 그 작품을 못보는건가요? 그게 말이 되나요? 저는 소장을 했는데?","긍정","0","0"
"2026-01-03 09:04:05","5","갤럭시 s23 울트라인데 자꾸 로딩이뜨네요ㅠ 다른 데이터쓰는 어플들은 다 잘돌아가는데... 쿠키 구워준다구!!! 이미지가 안뜨냐구ㅠ","긍정","0","0"
"2026-01-03 08:36:39","5","내가키운에스급들, 저그런인재아닙니다 무조건 보기","긍정","0","0"
"2026-01-03 08:32:42","5","좋아요","긍정","2","0"
"2026-01-03 07:47:56","4","요즘 버그땜에 버프먹었다가 썸네일 새로 올라온거보고 마음풉니다^^","긍정","0","2"
"2026-01-03 05:51:34","5","와 진짜 개재밌다","긍정","2","0"
"2026-01-03 03:35:42","5","너무너무 재밌어서 새벽 5시까지 보게 되요!","긍정","2","0"
"2026-01-03 02:43:17","5","꿀잼","긍정","3","0"
"2026-01-03 01:05:44","5","완벽","긍정","3","0"
"2026-01-03 00:55:49","5","진짜 넘 좋아요","긍정","2","0"
"2026-01-02 17:50:46","1","별점 주기 불편해 졌음 사용자 적대적 ui임","부정","0","2"
"2026-01-02 14:09:02","1","감자전지로 서버돌리나요? 쿠키구워서 보는데 볼수가없잖아요 요 일주일째 개난리인데 언제고침?","부정","0","0"
"2026-01-02 12:32:20","1","네~안녕하세요 섭입니다 네이버 대표님 정말 그러시면 안되는거죠 어떻게 돈을 내고 쿠키를 사서 웹툰을 볼수있게 만드신거죠? 님 때문에 제 통장이 텅장이 되버렸잖아요~","부정","0","0"
"2026-01-02 11:44:28","5","좋아","긍정","1","0"
"2026-01-02 11:17:29","3","솔직히 재밌는 웹툰많아서 5점주고싶은데, 구매가 아니라 대여라는 점 때문에 3점.","중립","0","0"
"2026-01-02 11:14:06","1","쿠키오븐 이벤트를 진행해도 쿠키가 지급되지 않습니다. 이용문의하면 준다해도 지급받는데 한참 걸리는데다 매번 문의쓰기도 불편해 죽겠습니다.","부정","0","2"
"2026-01-02 10:27:21","5","좋다","긍정","1","0"
